fac,hospital_name,hospital_type,robots_allowed,base_url,hospital_type_group,cihi_peer_group,licensed_beds,n_directions,extraction_quality,plan_period_start,plan_period_end,plan_start_year,plan_period_parse_ok,has_vision,has_mission,has_values,has_purpose,source_type,extraction_date,has_extraction
973,MOOSE FACTORY WEENEEBAYKO AREA,Small Hospital,TRUE,https://www.waha.ca,Community — Small,NA,NA,5,full,2015-01-01,2018-01-01,2015,TRUE,TRUE,TRUE,FALSE,FALSE,pdf,2026-03-27,TRUE
974,NORTH BAY NORTH BAY REGIONAL HC,Large Community Hospital,TRUE,https://nbrhc.on.ca,Community — Large,NA,NA,5,partial,2022-01-01,2027-01-01,2022,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
975,MISSISSAUGA TRILLIUM HEALTH PARTNER,Large Community Hospital,TRUE,https://www.thp.ca,Community — Large,NA,NA,4,full,2026-01-01,2030-01-01,2026,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
976,TORONTO SINAI HEALTH SYSTEM,Teaching Hospital,TRUE,https://www.sinaihealth.ca,Teaching,NA,NA,4,full,2023-01-01,2028-01-01,2023,TRUE,TRUE,TRUE,TRUE,TRUE,pdf,2026-04-10,TRUE
977,TERRACE BAY NORTH OF SUPERIOR HC,Small Hospital,FALSE,https://www.nosh.ca,Community — Small,NA,NA,5,full,2026-01-01,2028-01-01,2026,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-28,TRUE
978,KINGSTON KINGSTON HEALTH SCIENCES,Teaching Hospital,TRUE,https://kingstonhsc.ca,Teaching,NA,NA,5,partial,2024-01-01,2027-01-01,2024,TRUE,FALSE,FALSE,FALSE,FALSE,pdf,2026-04-10,TRUE
979,TORONTO SCARBOROUGH HEALTH NETWORK,Large Community Hospital,TRUE,https://www.shn.ca,Community — Large,NA,NA,5,full,2024-01-01,2029-01-01,2024,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
980,TORONTO UNITY HEALTH TORONTO,Teaching Hospital,TRUE,https://unityhealth.to,Teaching,NA,NA,9,full,2019-01-01,2026-01-01,2019,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
981,CHATHAM CHATHAM-KENT HEALTH ALLIANC,Large Community Hospital,FALSE,https://www.ckha.on.ca,Community — Large,NA,NA,NA,no_data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
982,Blanche River Health,Large Community Hospital,TRUE,https://www.blancheriverhealth.ca,Community — Large,NA,NA,6,full,2024-01-01,2029-01-01,2024,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
983,HURON PERTH HEALTHCARE ALLIANCE,Large Community Hospital,TRUE,https://www.hpha.ca,Community — Large,NA,NA,3,full,2025-01-01,2028-01-01,2025,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
